title,salary,city,raw_text
资深数据分析师,25-50K,北京·朝阳区·四惠,"资深数据分析师
-K·薪
5-10年
本科
少年得到
北京·朝阳区·四惠"
风险数据分析师,20-35K,北京,"风险数据分析师
-K·薪
5-10年
本科
某大型互联网上市公司
北京"
数据分析师,15-25K,北京·朝阳区·望京,"数据分析师
-K
3-5年
本科
美术宝科技集团
北京·朝阳区·望京"
数据分析师 Data Analyst,20-40K,北京艾克索拉,"数据分析师 Data Analyst
-K
5-10年
本科
北京艾克索拉
北京·朝阳区·朝外"
数据分析师,7-8K,北京·朝阳区·劲松,"数据分析师
-K
1-3年
本科
绝味鸭脖
北京·朝阳区·劲松"
数据分析师（信贷）,15-28K,未知,"数据分析师（信贷）
-K·薪
3-5年
本科
金格方
北京·通州区·新华大街"
数据分析师,17-18K,北京·朝阳区·朝外,"数据分析师
-K
1-3年
本科
启明星岳
北京·朝阳区·朝外"
数据分析师,15-22K,北京·西城区·西单,"数据分析师
-K
5-10年
本科
启高科技
北京·西城区·西单"
数据分析师,9-14K,未知,"数据分析师
-K
1-3年
本科
青橙数码
北京·朝阳区·高碑店"
数据分析师,8-13K,未知,"数据分析师
-K
1-3年
本科
万山数据
北京·东城区·新世界"
数据分析师,20-40K,未知,"数据分析师
-K·薪
5-10年
本科
Sigmob
北京·海淀区·中关村"
数据分析师,12-13K,北京,"数据分析师
-K
1-3年
本科
鑫垣
北京"
数据分析师（外派约旦）,15-20K,未知,"数据分析师（外派约旦）
-K
1-3年
本科
VIPKID
北京·朝阳区·酒仙桥"
数据分析师,20-40K,北京·朝阳区·望京,"数据分析师
-K
3-5年
本科
美团
北京·朝阳区·望京"
python数据分析师,16-25K,北京,"python数据分析师
-K
3-5年
本科
北京某中型国际一流大数据公司
北京"
全域数据分析师,20-28K,未知,"全域数据分析师
-K
5-10年
本科
群邑中国
北京·东城区·灯市口"
数据分析师,25-50K,北京,"数据分析师
-K
5-10年
本科
某大型知名餐饮上市公司
北京"
高级市场经营数据分析师,15-25K,北京润溪堂品牌管理,"高级市场经营数据分析师
-K·薪
3-5年
本科
北京润溪堂品牌管理
北京·顺义区·天竺"
数据分析师,8-10K,未知,"数据分析师
-K
3-5年
本科
初玖餐饮
北京·丰台区·马家堡"
数据分析师,11-12K,北京·海淀区·上地,"数据分析师
-K
3-5年
本科
合正信达
北京·海淀区·上地"
数据分析师,20-35K,北京房懂懂科技,"数据分析师
-K
5-10年
本科
北京房懂懂科技
北京·通州区·马驹桥"
数据分析师,20-40K,北京·朝阳区·安贞,"数据分析师
-K·薪
3-5年
本科
瑞幸咖啡
北京·朝阳区·安贞"
连锁数据分析师,15-25K,北京新氧万维,"连锁数据分析师
-K·薪
1-3年
本科
北京新氧万维
北京·朝阳区·来广营"
数据分析师,8-13K,上海百信云健康科技,"数据分析师
-K·薪
1-3年
本科
上海百信云健康科技
北京"
数据分析师,10-15K,未知,"数据分析师
-K
3-5年
本科
诚益通
北京·海淀区·学院路"
数据分析师,5-10K,北京·房山区·长阳,"数据分析师
-K
1-3年
本科
策点管理咨询北京公司
北京·房山区·长阳"
智驾数据分析师,30-50K,未知,"智驾数据分析师
-K·薪
5-10年
本科
长安科技
北京·海淀区·中关村"
数据分析师,15-25K,北京·朝阳区·朝外,"数据分析师
-K
3-5年
本科
学大教育
北京·朝阳区·朝外"
数据分析师,20-40K,北京·西城区·马甸,"数据分析师
-K
5-10年
本科
教师研修网
北京·西城区·马甸"
数据分析师,10-15K,北京·海淀区·上地,"数据分析师
-K
3-5年
本科
应时管理咨询
北京·海淀区·上地"
风险数据分析师,15-16K,北京·丰台区·花乡,"风险数据分析师
-K
3-5年
本科
新龙嘉盛
北京·丰台区·花乡"
数据分析师,25-50K,北京·朝阳区·望京,"数据分析师
-K·薪
3-5年
本科
武汉幻萌无限网络科技
北京·朝阳区·望京"
数据分析师,10-15K,北京·东城区·天坛,"数据分析师
-K
5-10年
本科
CBC集团
北京·东城区·天坛"
高级数据分析师,20-35K,北京,"高级数据分析师
-K·薪
3-5年
本科
某大型大数据上市公司
北京"
数据分析师,12-18K,未知,"数据分析师
-K
1-3年
本科
博乐科技
北京·朝阳区·亚运村"
高级数据分析师,20-25K,北京银霖通科技,"高级数据分析师
-K
5-10年
本科
北京银霖通科技
北京·朝阳区·高碑店"
高级数据分析师（正式）,15-20K,未知,"高级数据分析师（正式）
-K
5-10年
本科
拓尔思
北京·海淀区·西三旗"
数据分析师,40-70K,未知,"数据分析师
-K·薪
5-10年
本科
今日头条
北京·海淀区·知春路"
数据分析师（北京）,10-14K,数据分析师（北京）,"数据分析师（北京）
-K
3-5年
本科
网达软件
北京·东城区·王府井"
数据分析师,18-25K,未知,"数据分析师
-K
5-10年
本科
中嘉新辰
北京·朝阳区·高碑店"
高级数据分析师(A127876),20-40K,北京·朝阳区·工体,"高级数据分析师(A127876)
-K·薪
3-5年
本科
爱奇艺
北京·朝阳区·工体"
公安行业数据分析师,20-25K,未知,"公安行业数据分析师
-K·薪
3-5年
本科
奇虎360
北京·朝阳区·798"
数据分析师-BI,9-14K,北京·朝阳区·望京,"数据分析师-BI
-K
3-5年
本科
北京优信优途信息科技
北京·朝阳区·望京"
高级数据分析师（模型）,40-60K,北京,"高级数据分析师（模型）
-K·薪
5-10年
本科
北京某中型大数据金融信息服务公司
北京"
数据分析师,11-22K,北京·朝阳区·朝外,"数据分析师
-K
3-5年
本科
中科链源
北京·朝阳区·朝外"
数据分析师,12-22K,未知,"数据分析师
-K
3-5年
本科
东软集团
北京·海淀区·西北旺"
用增数据分析师——移动产品,30-35K,未知,"用增数据分析师——移动产品
-K·薪
3-5年
本科
360集团
北京·朝阳区·酒仙桥"
医疗行业数据分析师,15-20K,未知,"医疗行业数据分析师
-K
3-5年
本科
健康通
北京·东城区·广渠门"
数据分析师,15-25K,北京·朝阳区·朝外,"数据分析师
-K
5-10年
本科
环球五湖留学
北京·朝阳区·朝外"
数据分析师,30-50K,未知,"数据分析师
-K·薪
5-10年
本科
小米
北京·海淀区·西二旗"
