title,salary,city,raw_text
机器视觉工程师,8-12K1新,南京鹏力科技集团,"机器视觉工程师
-K·薪
1-3年
大专
南京鹏力科技集团
南京·江宁区·开发区"
机器人算法工程师,10-15K,南京·雨花台区·安德门,"机器人算法工程师
-K
1-3年
本科
中科具身
南京·雨花台区·安德门"
校招应届生（机器人）,10-15K,南京,"校招应届生（机器人）
-K
1年以内
硕士
华芯智联
南京"
机器人运动控制工程师（C++）,15-25K,南京·浦口区·江浦,"机器人运动控制工程师（C++）
-K
在校/应届
本科
蔚蓝智能科技
南京·浦口区·江浦"
匿名公司招聘机械结构工程师,30-40K14新,南京,"匿名公司招聘机械结构工程师
-K·薪
3-5年
大专
某大型智能硬件上市公司
南京"
机器视觉工程师,11-18K,上海贝特威,"机器视觉工程师
-K
3-5年
大专
上海贝特威
南京·江宁区·将军大道"
机器学习,20-21K,南京·栖霞区·马群,"机器学习
-K
1-3年
本科
合肥阿斯医康贸易
南京·栖霞区·马群"
机器人算法工程师,3055K,南京,"机器人算法工程师
-K
5-10年
硕士
某知名汽车零部件上市公司
南京"
机器视觉工程师,9-14K,南京·江宁区·秣陵,"机器视觉工程师
-K
3-5年
大专
微伽自动化
南京·江宁区·秣陵"
机器学习,17-30K,南京·雨花台区·铁心桥,"机器学习
-K
在校/应届
本科
华为数字技术
南京·雨花台区·铁心桥"
ros算法工程师（机器人ros的驱动开发）,20-23K,南京,"ros算法工程师（机器人ros的驱动开发）
-K
1-3年
大专
某智能硬件公司
南京"
智能机器人控制工程师,12-17K1新,南京中科硅纪机器人,"智能机器人控制工程师
-K·薪
1-3年
本科
南京中科硅纪机器人
南京·江宁区·麒麟镇"
